DayJulian	time_numeric	Temp	Snet	VPD	WS
1	7	23.3	2.3	0.0371965969185459	4.4
1	7.5	23.5	19	0.0405442503916921	2.3
1	8	23.6	41.5	0.0320487885768505	1.6
1	8.5	23.8	54	0.0324370252341349	1
1	9	24	114.3	0.0328293626904473	0.5
1	9.5	24.4	192	0.0336264859286534	0.4
1	10	25	242.8	0.0760447538946106	0.2
1	10.5	25.6	320.6	0.164182341157194	0.6
1	11	26.3	443.9	0.369634765791249	1.5
1	11.5	27.1	424.9	0.613467871101424	1.9
1	12	27.5	512.8	0.826333453170069	2.7
1	12.5	27.9	588.9	0.954889231792081	3.3
1	13	28.4	525.6	0.983089774835673	2.3
1	13.5	28	466.4	0.952909513566176	3.6
1	14	28	446.7	0.888625935270045	2.7
1	14.5	28	400.6	0.903751483104429	2.8
1	15	27.7	340.3	0.880639611578602	3.5
1	15.5	27.6	264.3	0.809014703916555	2.2
1	16	27.5	219.3	0.763899370041664	2.4
1	16.5	27.3	165.7	0.686040740591588	2.2
1	17	27.1	97.2	0.591942682641725	2
1	17.5	26.8	50.5	0.489956469761398	1.8
1	18	26.5	25.8	0.39480002193597	2.1
1	18.5	26.2	7.3	0.29260582597694	1.8
2	7	24.9	3.1	0.207879666516574	2.9
2	7.5	24.9	38.9	0.154334903928972	2.6
2	8	25.2	63.2	0.211629369122791	3.2
2	8.5	25.5	103.1	0.231759003721756	2.5
2	9	25.9	175.5	0.307515542820322	2.6
2	9.5	26.6	307.4	0.414551035392035	3
2	10	27.2	536.8	0.599033287416121	4.6
2	10.5	27.4	471.7	0.744837589482932	4.7
2	11	27.4	419.2	0.741186424828603	3.8
2	11.5	27.5	544.8	0.763899370041664	4.2
2	12	27.7	654.8	0.824902927301475	4.8
2	12.5	27.9	563.5	0.842107039060733	3.8
2	13	28.2	660.6	1.0214576274901	4.4
2	13.5	28.3	647.7	0.996632377671726	4
2	14	27.8	406.1	0.882058790198142	4.3
2	14.5	27.6	319.9	0.809014703916555	3.9
2	15	27.3	265.5	0.711449656909794	4.2
2	15.5	27.5	353.1	0.763899370041664	4
2	16	27.7	410.6	0.798892474638816	3.9
2	16.5	27.7	388.5	0.824902927301475	4.6
2	17	27.6	253.3	0.746214475758649	4
2	17.5	27.3	141.4	0.657001979085065	3.9
2	18	27	60.2	0.613444221417058	3.6
2	18.5	26.7	13.9	0.571183219142341	3.4
3	7	25.4	0.9	0.379650519855031	3
3	7.5	25.5	12.7	0.375384301802845	2.5
3	8	25.8	77.8	0.402061322463076	2.5
3	8.5	26.6	217.9	0.532994188361187	2.7
3	9	27	301.5	0.631276902272205	3.8
3	9.5	26.8	92.8	0.578078136984671	3.8
3	10	26.8	234	0.57102840360681	3.4
3	10.5	27.3	357.6	0.729598882851371	4.3
3	11	26.8	198.6	0.57102840360681	3.2
3	11.5	27.4	441.5	0.69007011966801	3.8
3	12	27.7	476.2	0.806324032542433	3.4
3	12.5	27.9	463.6	0.898498135426407	4.2
3	13	28	432.6	0.881063161352854	3.6
3	13.5	27.6	264.7	0.720355558281864	3.6
3	14	27.2	202.8	0.609859190200751	3.5
3	14.5	27.2	212.8	0.620685092985379	3.5
3	15	27	176.9	0.556379642680587	3.7
3	15.5	26.4	95.8	0.378707878807129	2.8
3	16	26.5	186.3	0.363631599151551	2.3
3	16.5	26.9	130	0.503482027903268	2.6
3	17	26.7	54.4	0.448536515645519	3.2
3	17.5	25.4	70.2	0.181713069332322	3.5
3	18	25.5	33.9	0.13056845280099	2.6
3	18.5	25.7	9.3	0.161855976091265	2.8
4	7	23.9	4.7	0.0978980372766118	2.6
4	7.5	24.3	44	0.0759673582003241	3.2
4	8	24.8	79.1	0.206642716198218	4.3
4	8.5	24.7	216.2	0.146278380594996	3.6
4	9	25	212.4	0.183774821911975	3.3
4	9.5	25.2	207.5	0.256520447421565	4.1
4	10	25.4	226.1	0.243365717855789	3.6
4	10.5	26.3	375.5	0.434663104217488	4.3
4	11	26.8	562.2	0.563978670228948	3.5
4	11.5	26.3	216.1	0.455198368983668	4.8
