s_name	s_LMA	s_Nmass	s_Pmass	s_wsg	s_dbhmax	s_hmax	s_ah	s_seedmass	s_regionalfreq	s_tlp	s_leafarea
Abarema_jupunba	94.2792	0.0229482	0.000576022	0.582268	0.6128	48.98	0.3121	1	0.00917431192660551	-1.49836363636364	3.13555555555556
Ambelania_acida	108.786	0.0136516	0.000380333	0.433461	0.17693	47.44	0.3316	1	0.00917431192660551	-1.54066666666667	89.2836721314324
Amphirrhox_longifolia	55.1113	0.0269845	0.000892544	0.579021	0.17053	42.15	0.3855	1	0.00917431192660551	-1.735375	33.0444444444445
Apeiba_glabra	81.4945	0.0195026	0.000525017	0.460969	0.29782	46.3	0.338	1	0.00917431192660551	-1.7685	49.9666666666667
Bocoa_prouacensis	93.3617	0.0253701	0.000536771	0.831927	0.40844	49.77	0.3107	1	0.00917431192660551	-1.79939622641509	60.3930270736282
Brosimum_guianense	93.3371	0.0190651	0.000493661	0.692915	0.56252	47.8	0.3293	1	0.00917431192660551	-2.0752	16.4533555603027
Brosimum_rubescens	81.5601	0.0189694	0.000617643	0.623387	0.71275	52.69	0.2735	1	0.00917431192660551	-2.28	25.192461098565
Carapa_procera	130.13	0.0177	0.0006356	0.55	0.49	41.42	0.187	1	0.00917431192660551	-1.92684	221.906478196296
Caryocar_glabrum	84.1547	0.0214971	0.000699827	0.627318	1.0312	51.85	0.2879	1	0.00917431192660551	-1.83925	44.8628824869792
Casearia_javitensis	81.2674	0.0164788	0.000525017	0.705276	0.22226	51.82	0.272	1	0.00917431192660551	-1.85535714285714	83.1333333333333
Cassipourea_guianensis	77.289	0.0203327	0.000525017	0.69239	0.213	48.93	0.3114	1	0.00917431192660551	-2.054	36.7666666666667
Cecropia_obtusa	177.018	0.0266653	0.000931068	0.429963	0.35316	47.14	0.3345	1	0.00917431192660551	-1.525	493.816666666667
Chrysophyllum_prieurii	126.771	0.022375	0.00060022	0.790814	0.53282	49.89	0.303	1	0.00917431192660551	-2.21975862068966	88.8592592592593
Chrysophyllum_sanguinolentum	141.449	0.0156318	0.000463332	0.615425	0.59712	48.93	0.3138	1	0.00917431192660551	-1.828	181.79
Conceveiba_guianensis	85.5875	0.0232401	0.00067341	0.538148	0.2515	50.44	0.2959	1	0.00917431192660551	-1.75422222222222	106.553692431328
Cordia_sagotii	115.172	0.0254712	0.000588396	0.479962	0.264	47.04	0.3343	1	0.00917431192660551	-1.3963	139.816181589762
Couepia_bracteosa	116.058	0.0146677	0.000468117	0.794169	0.43088	47.46	0.3389	1	0.00917431192660551	-2.255	111.534025730231
Couepia_caryophylloides	96.4256	0.0170861	0.000567069	0.758687	0.82498	49.87	0.3005	1	0.00917431192660551	-1.868	98.6791666666666
Couratari_multiflora	86.308	0.0241363	0.000692644	0.598185	0.82068	48.84	0.3071	1	0.00917431192660551	-2.1805	22.0439090959953
Couratari_oblongifolia	69.7214	0.0228037	0.000654165	0.493805	0.95198	49.34	0.2989	1	0.00917431192660551	-1.8615	21.0166666666667
Cupania_diphylla	89.711	0.0202059	0.000911748	0.776182	0.127	46.07	0.3494	1	0.00917431192660551	-2.455	86.3
Cupania_scrobiculata	60.592	0.0228805	0.00122878	0.745219	0.2011	48.9	0.3146	1	0.00917431192660551	-2.135	48.1221666689273
Cyrillopsis_paraensis	53.4959	0.0279144	0.000545655	0.76871	0.51164	45.09	0.3655	1	0.00917431192660551	-2.00625	57.3958333333333
Dacryodes_cuspidata	104.495	0.0156579	0.000524423	0.672011	0.34387	51.14	0.286	1	0.00917431192660551	-1.72	48.0088300832113
Dendrobangia_boliviana	84.0701	0.0222637	0.000724321	0.602164	0.34962	50.77	0.2891	1	0.00917431192660551	-1.74166666666667	61.7673588337043
Dicorynia_guianensis	87.2872	0.0241362	0.000525017	0.657053	1.02334	52.15	0.2729	1	0.00917431192660551	-1.43834693877551	56.0782666973538
Diospyros_carbonaria	114.539	0.0131976	0.00046945	0.648435	0.3042	46.72	0.3347	1	0.00917431192660551	-1.7055	49.2805445292639
