NightTemperature	Rainfall
24.958	9.8
25.788	1
25.587	6.4
25.012	20.4
24.233	30.8
24.712	29.4
24.754	11.8
23.717	1
24.125	3.6
25.046	9.6
25.038	6.4
24.846	0.6
24.792	0.6
24.958	1.6
25.483	0.2
25.208	0.4
24.642	0
24.45	0.4
24.329	4
24.017	17.2
24.017	61.6
23.975	5.2
24.792	0
24.054	0
24.567	0
23.371	7.8
23.642	1.4
23.854	2.8
24.613	0
24.538	0.2
24.908	7.8
25.062	2.2
25.246	0
25.413	0.8
24.637	8.4
24.812	2.2
24.833	0.2
24.75	8.6
25.579	0.8
25.337	2.8
24.846	0
24.271	17.4
25.054	7.4
25.371	0
24.721	1.2
24.783	0
24.717	9
25.438	0
25.467	0
24.879	0.6
25.2	0
24.733	6
24.75	0
24.712	0
25.113	0
24.837	8.6
23.887	51.4
24.575	3
24.538	0
24.904	0.2
25.288	6.6
25.075	17.4
24.971	6.4
25.225	0.2
25.196	0
24.933	0.6
25.075	0.4
24.212	38.2
25.046	0.2
24.729	0
24.033	13.2
23.925	22.4
25.062	0.2
25.146	5.2
24.908	13.6
25.579	0.2
24.817	2.2
24.913	13.4
25.392	3.6
25.208	1.6
24.988	6.4
25.225	3.4
25.446	1.4
25.05	7.2
24.988	8
24.071	86.4
24.275	4.2
24.046	78.6
24.846	0.8
25.35	0.6
25.233	0.8
25.104	0.2
24.921	0.6
25.279	12.4
25.275	1
25.337	16.6
25.508	2.4
25.45	0
25.358	6.4
25.071	8.4
25.467	27.4
25.75	0
25.579	8
24.971	0.6
23.542	78
24.837	3.8
24.492	29
24.392	17
24.404	16
23.912	26.8
22.788	29.4
24.221	23.8
24.842	2.4
24.296	58
23.217	183.2
22.988	2.8
24.542	12.2
24.004	18.2
23.675	85
24.442	16.4
24.008	1.4
24.446	4.8
24.762	2.2
24.858	46.2
24.675	13.4
24.812	42
24.733	6.2
25.387	0.4
24.146	8
24.479	14
24.25	3.2
24.054	17.2
24.538	9.6
24.796	9
24	38
23.996	0.4
24.429	5.6
23.462	3.2
23.392	13.2
24.212	12
24.617	3.8
24.267	0.6
23.292	7.2
23.233	5
24.583	2.6
24.488	9.4
23.55	5
22.767	14
23.117	9.4
24.071	39.4
23.542	48
23.425	1.4
23.488	12
23.887	30.2
23.467	12.2
23.462	0.8
24.217	10
23.896	22.2
23.363	9.8
23.629	0.2
24.488	8.2
24.083	16.6
23.962	27.8
24.171	3.4
23.929	4
23.75	6.2
23.446	17.8
23.596	47
23.854	0.2
24.312	2.4
24.342	1.2
24.379	5
23.829	21.8
23.863	18.4
24.25	2.2
23.846	2
24.1	22
23.946	57.4
23.883	40.4
23.817	9.2
23.733	0.2
24.1	0.8
24.65	0
24.167	2.4
24.238	2
24.075	1.6
24.333	0
23.562	20.8
23.308	0.2
23.396	7.4
24.208	7.2
24.387	1.8
23.921	60.2
24.337	9.4
25.038	1.4
24.921	0
23.992	0.4
23.75	0
24.55	0
23.975	14.4
23.946	0.2
24.954	0
24.983	12.8
24.4	5.4
24.371	33.8
24.783	0.2
24.038	12
23.942	13.8
24.512	8.6
24.7	0
24.438	0.6
23.688	10.8
23.096	10.6
23.617	1.4
23.667	46.6
24.196	0.6
24.529	0
24.179	0
24.188	0.2
24.304	0.4
23.775	6.6
24.354	0
24.9	0
24.842	0
24.812	0
24.679	0
24.679	0
24.663	8
24.258	15.8
24.783	6.4
24.675	0
24.679	0.2
24.554	0
24.871	0
24.421	0
24.337	0
24.567	0.6
25.321	0
25.812	1.6
24.804	0.2
25.054	0
24.938	0
25.312	0
25.296	3
24.637	3.8
24.642	0
24.621	0.2
25	0
24.842	0
25.038	0
24.962	0
25.004	0.2
25.267	0.4
25.167	4.2
24.333	1
23.621	0.2
24.404	13.2
24.767	6.4
24.333	0
24.6	0
23.488	3.4
24.137	0
24.892	0.2
24.858	0
25.183	0
25.275	0
24.887	0
24.454	0
24.546	0
24.887	0
24.746	0
24.554	0.2
25.071	0
24.529	4.8
24.25	0
25.267	0
25.496	0
25.196	0
25.012	10.6
24.921	2
25.271	0
24.842	0
24.967	0
24.854	13.8
24.988	0
25.046	0.8
25.363	0.4
25.108	0
24.942	0
25.512	0
25.279	0
25.113	0
25.958	0
25.312	0
25.625	0.2
25.271	0
24.017	15
24.179	0.4
25.45	0
23.317	15.4
23.854	0
25.462	0
24.446	2.8
24.479	6.4
25.238	0
25.446	0
25.038	0
25.054	0
25.467	0
25.008	3.8
25.342	0
25.329	0
25.604	0
25.325	0
24.967	0
24.704	0
24.854	0
25.217	0.6
25.008	4.4
23.658	25.6
23.837	0
24.783	0
